"Temperature (degC), TC1","Temperature (degC), TC2","Temperature (degC), TC3","Temperature (degC), TC4","Temperature (degC), TC5","Temperature (degC), TC6","Temperature (degC), TC7","Temperature (degC), TC8","Temperature (degC), TC9","Temperature (degC), TC10",V_coil_rms (V)
396.0569189,215.4786989,305.6850135,208.468465,175.5449366,339.1809071,380.442643,187.9538142,270.2425938,197.4249661,79.43985024
410.2307643,218.3893252,314.6202343,206.666998,175.4370634,333.6000783,387.347508,189.2786129,274.7588046,197.6831928,79.41137162
404.8781798,217.4076939,311.2866363,207.6915251,175.539336,336.4788613,384.6526084,188.7695179,272.9986593,197.6655487,79.41709666
404.98228,217.0133359,310.4396679,206.4310541,174.6654852,330.5575596,377.82939,187.7131724,269.7842778,196.1336928,79.45543246
393.3993805,213.1104734,301.7505396,202.2584743,172.6517183,316.9335565,361.50415,184.9227881,261.2016553,192.5095931,79.58325525
397.5205858,215.040467,304.624017,206.0908508,173.7537819,326.8617416,366.2997819,185.8232428,263.7133301,194.2857246,79.5141076
386.6636244,212.5175982,300.1297425,204.9668482,174.7052537,331.774937,376.6702229,187.0767718,267.7565828,196.0218475,79.51080668
375.8313176,208.7996228,292.5152323,200.3020663,172.818313,317.8827181,363.6808491,184.7852033,260.8548808,192.742878,79.63089868
393.6910238,214.6999596,303.9112346,207.6444014,175.0917523,336.2482674,376.6955156,187.3181269,268.2959163,196.6067101,79.46660227
397.1977948,213.912644,305.677149,201.2223608,173.3516261,318.0727813,373.332789,186.7567287,267.2014,194.0588686,79.54881803
404.1782619,217.9682358,311.7996312,210.285961,176.7418195,346.018893,391.8253528,189.8868444,276.2933909,199.6576776,79.36420765
405.9360573,217.5134682,311.3979788,207.4929907,175.214615,334.5276717,381.7151403,188.3456085,271.7023244,197.0892526,79.42911899
405.2295208,216.623056,311.3049265,204.3688501,174.6816062,327.5956596,383.0326745,188.4605453,272.3647915,196.4122827,79.46388746
376.5424564,210.1069565,292.6335692,205.4263395,173.7872216,329.7863655,362.6731685,184.7963682,260.3320042,194.035911,79.57217893
406.6467025,217.7528227,311.1166882,208.1150281,174.9112918,333.7879802,377.0505301,187.6832351,269.508276,196.4510783,79.43618547
388.5104455,213.9436094,302.6040009,208.5330475,176.4638578,345.1493997,388.2889016,188.9269484,273.3076971,199.0087658,79.42683423
399.5572687,215.2375808,305.4005332,205.2201471,173.3413995,323.3507258,364.0021443,185.503827,262.8123593,193.6203395,79.52998233
408.9667687,218.018565,312.745573,206.8763526,174.7846842,331.0835473,379.0839405,188.0098623,270.69018,196.3822696,79.43895
428.5096464,221.9465537,323.555325,205.3408752,174.1319174,322.8811554,379.8165449,188.5630451,272.6425277,195.6261993,79.42124783
394.5693599,214.8715525,305.5522681,206.9518062,175.7033002,338.0303181,385.3429252,188.602084,272.4640945,197.866745,79.44470917
399.0799023,215.3143232,306.9613171,205.0544134,174.3777156,328.2281246,376.2460183,187.3046197,268.5967765,195.6278459,79.48874115
404.4592276,217.7422725,311.8889063,209.2200836,176.5156938,343.3601207,391.8261607,189.8669615,276.3332849,199.3514164,79.37746153
424.0800639,222.1634378,321.700125,209.7263964,175.5583594,336.1662945,384.8600339,189.3127733,274.5952359,197.8128203,79.35951434
382.5871757,210.6851257,296.9973382,201.424949,173.3124888,320.6565327,368.5227051,185.6787357,263.6784483,193.6869853,79.58747176
380.5284363,211.4938126,296.4464353,206.7556173,175.0975019,337.4689712,375.1089376,186.7434177,266.4697633,196.4545073,79.50748625
398.2629833,215.9764051,307.3336981,208.0621675,175.5588841,338.3076801,382.3350386,188.2627766,271.3399096,197.5426938,79.43298942
406.8493691,216.7028049,310.3525623,204.1363786,173.4919488,321.4671428,370.0972783,186.550535,266.3101203,194.1490992,79.50713587
424.3269431,222.7723651,323.4901093,211.0347566,176.7235778,343.4396879,395.2512239,190.9139901,279.6007522,199.9155253,79.30667742
399.3311637,216.7378453,310.0330978,209.3244192,177.3357439,348.3119212,399.2736692,190.8461113,279.414162,200.7990637,79.36210038
405.6795191,217.896694,311.0935614,209.4431356,175.5908138,339.0356018,381.3077294,188.3377485,271.4288896,197.5871456,79.40793334
388.3035962,214.146522,302.5258323,209.7179405,176.80836,348.6195313,389.2107083,189.091692,273.6966022,199.5272059,79.41103559
